Species,method,TLinfinity,K,Auxim,Sex,Type,Loo,sppLinfmean,Linf_stand,year,Locality,x,y
Salvelinus namaycush,scales,69.81,0.17,unchecked,unsexed,TL,69.81,77.71255814,-0.113200947,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Salvelinus namaycush,scales,70.51,0.77,unchecked,unsexed,TL,70.51,77.71255814,-0.102149456,2007,"Canada, Lake Huron",-81.12305,45.44472
Salvelinus namaycush,scales,70.71,0.23,unchecked,unsexed,TL,70.71,77.71255814,-0.099032077,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Salvelinus namaycush,scales,71.01,0.21,unchecked,unsexed,TL,71.01,77.71255814,-0.094388933,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Salvelinus namaycush,scales,71.11,0.91,unchecked,unsexed,TL,71.11,77.71255814,-0.092849925,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Salvelinus namaycush,scales,72.01,0.45,unchecked,unsexed,TL,72.01,77.71255814,-0.079191198,2007,"Canada, Lake Huron",-81.12305,45.44472
Salvelinus namaycush,scales,72.21,0.47,unchecked,unsexed,TL,72.21,77.71255814,-0.076202162,2007,"Canada, Lake Huron",-81.12305,45.44472
Salvelinus namaycush,scales,72.41,0.37,unchecked,unsexed,TL,72.41,77.71255814,-0.073229639,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,73.51,0.2,unchecked,unsexed,TL,73.51,77.71255814,-0.057169884,2007,"USA, Lake Superior, Michigan",-87.56104,47.10004
Salvelinus namaycush,scales,77.51,0.18,unchecked,unsexed,TL,77.51,77.71255814,-0.002613316,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,78.51,0.18,unchecked,unsexed,TL,78.51,77.71255814,0.010157201,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,79.51,0.35,unchecked,unsexed,TL,79.51,77.71255814,0.022606488,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,80.31,0.1,unchecked,unsexed,TL,80.31,77.71255814,0.032342695,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,82.61,0.33,unchecked,unsexed,TL,82.61,77.71255814,0.059283886,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,82.81,0.27,unchecked,unsexed,TL,82.81,77.71255814,0.061555873,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,83.51,0.35,unchecked,unsexed,TL,83.51,77.71255814,0.069422127,2007,"Canada, Lake Huron",-81.12305,45.44472
Salvelinus namaycush,scales,83.61,0.17,unchecked,unsexed,TL,83.61,77.71255814,0.070535126,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,84.01,0.11,unchecked,unsexed,TL,84.01,77.71255814,0.074960622,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Salvelinus namaycush,scales,84.11,0.25,unchecked,unsexed,TL,84.11,77.71255814,0.076060419,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,85.31,0.3,unchecked,unsexed,TL,85.31,77.71255814,0.089056873,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,85.31,0.33,unchecked,unsexed,TL,85.31,77.71255814,0.089056873,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,86.01,0.08,unchecked,unsexed,TL,86.01,77.71255814,0.096470665,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Salvelinus namaycush,scales,86.01,0.17,unchecked,unsexed,TL,86.01,77.71255814,0.096470665,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Salvelinus namaycush,scales,86.11,0.3,unchecked,unsexed,TL,86.11,77.71255814,0.097519938,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,87.41,0.14,unchecked,unsexed,TL,87.41,77.71255814,0.110942019,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,89.01,0.18,unchecked,unsexed,TL,89.01,77.71255814,0.126923288,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Salvelinus namaycush,scales,90.01,0.11,unchecked,unsexed,TL,90.01,77.71255814,0.136623063,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Salvelinus namaycush,scales,90.41,0.35,unchecked,unsexed,TL,90.41,77.71255814,0.140442892,2007,"USA, Lake Superior, Wisconsin",-90.67017,47.05515
Salvelinus namaycush,scales,91.01,0.13,unchecked,unsexed,TL,91.01,77.71255814,0.146109679,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Salvelinus namaycush,scales,92.01,0.05,unchecked,unsexed,TL,92.01,77.71255814,0.155390087,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Salvelinus namaycush,scales,96.01,0.01,unchecked,unsexed,TL,96.01,77.71255814,0.190578501,2007,"Canada, Lake Superior, Ontario",-85.44067,47.59876
Sardina pilchardus,scales,20.3,0.306,within ellipse,unsexed,TL,20.3,19.00666667,0.063711002,1965,"Spain, Vinaroz-Castellon-Columbretes",0.54794,40.47202
Sardina pilchardus,scales,19.4,0.43,within ellipse,female,TL,19.4,19.00666667,0.020274914,1981,Tunisia,10.62378,36.0491
Sardina pilchardus,scales,19,0.36,within ellipse,male,TL,19,19.00666667,-0.000350877,1981,Tunisia,10.62378,36.0491
Sardina pilchardus,scales,20.3,0.256,within ellipse,female,TL,20.3,19.00666667,0.063711002,1986,"Algeria, Algerian coasts",3.18741,36.82797
Sardina pilchardus,scales,18.7,0.282,within ellipse,male,TL,18.7,19.00666667,-0.016399287,1986,"Algeria, Algerian coasts",3.18741,36.82797
Sardina pilchardus,otoliths,20.5,0.46,within ellipse,unsexed,TL,20.5,19.00666667,0.072845528,1983,"Italy, Central Adriatic Sea",15.24902,42.87596
Sardina pilchardus,scales,20.6,0.191,unchecked,female,FL,19.9,19.00666667,0.044891122,1988,"Algeria, Beni-Saf",-1.39664,35.31456
Sardina pilchardus,scales,18.1,0.258,unchecked,male,FL,17.6,19.00666667,-0.079924242,1988,"Algeria, Beni-Saf",-1.39664,35.31456
Sardina pilchardus,otoliths,15.2,0.593,unchecked,male,FL,15,19.00666667,-0.267111111,1996,"Turkey, Izmir Bay",26.77939,38.52582
Sardina pilchardus,otoliths,20.2,0.27,unchecked,unsexed,TL,20.2,19.00666667,0.059075908,1990,"Algeria, Beni-Saf",-1.39664,35.31456
Sardina pilchardus,otoliths,17.4,0.84,unchecked,unsexed,TL,17.4,19.00666667,-0.092337165,1993,"Spain, Alicante",-0.44495,38.30503
Sardina pilchardus,otoliths,18,0.65,unchecked,unsexed,TL,18,19.00666667,-0.055925926,1993,"Spain, Valencia",-0.2774,39.4892
Sardina pilchardus,otoliths,18.2,0.7,unchecked,unsexed,TL,18.2,19.00666667,-0.044322344,1993,"France, Lion Gulf",4.25298,42.93852
Sardina pilchardus,otoliths,19.9,0.93,unchecked,unsexed,TL,19.9,19.00666667,0.044891122,1993,"Spain, Vera Gulf",-2.41974,36.71632
Sardina pilchardus,otoliths,20.7,0.69,unchecked,unsexed,TL,20.7,19.00666667,0.081803543,1993,"Spain, Alboran Sea",-3.40972,35.95526
